trial_id,spike_times,condition_id,condition_angle,unit_label
2,"[18.5, 180.9, 559.1, 1104.8, 2481.5, 4434.9]",2,60,"A588, U18, #15, OT"
3,"[53.3, 122.2, 177.4, 196.8, 356.5, 365.8, 422.7, 2075.3, 2122.6, 2163.1, 2262.1, 2366.5, 3935.6, 4050.9, 4151.7, 4160.1, 4200.2, 4365.2, 4383.4, 4403.2, 4469.6]",9,270,"A588, U18, #15, OT"
4,"[1638.6, 1641.7, 1653.0, 1663.0, 1691.1, 1731.0, 1968.7, 2098.4, 2118.9, 2171.3, 2316.6]",0,0,"A588, U18, #15, OT"
5,[],7,210,"A588, U18, #15, OT"
6,"[364.4, 391.4, 414.2, 1917.0, 2150.4, 2185.0, 2206.9, 2679.8, 3115.2, 3822.2]",4,120,"A588, U18, #15, OT"
7,"[862.6, 3151.4, 3157.2, 3233.7, 3257.7, 3284.0, 3299.1, 4247.7]",5,150,"A588, U18, #15, OT"
8,"[625.5, 1037.8, 3003.1, 3266.0, 3419.2, 4091.2]",6,180,"A588, U18, #15, OT"
9,"[138.4, 1532.1, 2467.3, 2650.2, 2694.6, 2700.8, 2825.1, 4377.1, 4385.1, 4417.6]",8,240,"A588, U18, #15, OT"
10,[],3,90,"A588, U18, #15, OT"
11,"[2540.9, 4079.1, 4090.9, 4094.7, 4107.1, 4185.9, 4236.9, 4304.6, 4357.7, 4372.0, 4379.7, 4400.5]",11,330,"A588, U18, #15, OT"
12,"[1250.2, 2451.6, 4214.6, 4330.6, 4338.0, 4341.5, 4344.5, 4351.2, 4362.2, 4364.9, 4366.4, 4446.8, 4456.2, 4469.1]",10,300,"A588, U18, #15, OT"
13,"[2552.8, 2820.3, 3906.4, 4106.6, 4446.2]",1,30,"A588, U18, #15, OT"
14,"[3914.1, 4028.3, 4061.1, 4103.0, 4115.2, 4143.8, 4188.8, 4194.7, 4214.4, 4223.2, 4225.2, 4238.6, 4287.4, 4296.3, 4316.2, 4383.4, 4390.0]",9,270,"A588, U18, #15, OT"
15,"[215.0, 240.9, 324.4, 329.6, 430.7, 584.3]",2,60,"A588, U18, #15, OT"
16,"[516.3, 3126.0, 4076.1, 4103.7, 4125.8, 4215.2, 4357.6, 4360.2, 4415.4, 4433.7]",0,0,"A588, U18, #15, OT"
17,"[113.4, 1214.6]",3,90,"A588, U18, #15, OT"
18,"[444.7, 457.4, 556.6, 618.2, 621.3, 698.8, 743.5, 794.5, 869.7, 1221.8, 1245.3, 1273.5, 1641.8]",4,120,"A588, U18, #15, OT"
19,"[1.6, 29.2, 54.8, 85.8, 135.7, 761.8, 1062.7, 1279.8, 1873.6, 4077.3, 4099.8, 4212.0]",11,330,"A588, U18, #15, OT"
20,"[789.1, 830.9, 983.5, 1131.7, 1298.2, 3447.8, 3975.7]",7,210,"A588, U18, #15, OT"
21,"[215.1, 254.5, 267.8, 3653.3, 3678.6, 3970.8, 4370.2, 4421.5, 4429.7]",8,240,"A588, U18, #15, OT"
22,"[161.5, 166.9, 208.2, 371.8, 405.0, 549.6, 1201.5, 1609.6, 2248.4, 2309.9, 2541.2, 2608.1, 2953.1, 3003.6]",5,150,"A588, U18, #15, OT"
23,"[879.2, 1241.2, 2224.4, 2453.5, 2458.6, 3939.8, 3946.2, 4248.2, 4380.1, 4392.5]",10,300,"A588, U18, #15, OT"
24,"[846.1, 939.7, 981.6, 993.3, 1276.0, 1823.9, 2410.0, 2419.8, 2647.6, 2815.0, 3106.8, 3120.7, 3138.5, 3280.6, 3303.5, 3440.1, 3453.3, 3468.5, 3594.9, 3612.4, 3680.0, 3919.2]",6,180,"A588, U18, #15, OT"
25,"[1139.5, 2521.3, 2565.0, 2579.2, 2594.9, 2731.6, 3036.2, 3535.8, 3657.5, 3664.5, 3722.2, 3769.8, 3888.1, 3939.7, 4410.8]",1,30,"A588, U18, #15, OT"
26,"[106.3, 115.1, 1353.7, 1438.2, 1555.4, 1580.5, 1628.0, 2033.8, 2041.1, 2069.1, 2131.0, 2226.6, 2243.4, 3202.9, 3968.7, 3981.6, 4060.4, 4075.5, 4125.4, 4159.1, 4169.9, 4209.5, 4213.2, 4399.8, 4414.8, 4434.3]",0,0,"A588, U18, #15, OT"
27,"[3.8, 2124.9, 2302.6, 2324.9, 2327.0, 2587.9, 2656.3, 2702.9, 2733.6, 2825.6, 2922.9, 3497.9, 4101.5, 4227.8, 4244.3]",2,60,"A588, U18, #15, OT"
28,"[1312.6, 1331.3, 1391.7, 1426.0, 1457.6, 1554.2, 1632.4, 1719.8, 1784.4, 1808.9, 2257.6, 2891.5, 2915.2, 3018.5, 3071.3, 3106.0, 3139.9, 3209.6, 3293.0]",11,330,"A588, U18, #15, OT"
29,"[254.5, 711.2, 769.7, 784.1, 1153.1, 2777.6]",6,180,"A588, U18, #15, OT"
